,state,act_participation,act_english,act_math,act_reading,act_science,act_composite,sat_participation,sat_read_write,sat_math,sat_total,year
0,Alabama,100,18.9,18.3,19.6,19.0,19.1,6,595,571,1166,2018
1,Alaska,33,19.8,20.6,21.6,20.7,20.8,43,562,544,1106,2018
2,Arizona,66,18.2,19.4,19.5,19.2,19.2,29,577,572,1149,2018
3,Arkansas,100,19.1,18.9,19.7,19.4,19.4,5,592,576,1169,2018
4,California,27,22.5,22.5,23.0,22.1,22.7,60,540,536,1076,2018
5,Colorado,30,23.9,23.2,24.4,23.5,23.9,100,519,506,1025,2018
6,Connecticut,26,26.0,24.8,26.1,24.9,25.6,100,535,519,1053,2018
7,Delaware,17,23.7,23.1,24.5,23.4,23.2,100,505,492,998,2018
8,District of Columbia,32,23.7,22.7,24.4,23.0,23.6,92,497,480,977,2018
9,Florida,66,19.2,19.3,21.1,19.5,19.9,97,522,493,1014,2018
10,Georgia,53,20.9,20.7,21.2,21.4,21.4,70,542,522,1064,2018
11,Hawaii,89,18.2,19.0,19.1,19.0,18.9,56,550,549,1099,2018
12,Idaho,36,21.9,21.6,23.2,22.1,22.3,100,508,493,1001,2018
13,Illinois,43,24.1,23.4,24.2,23.4,23.9,99,513,506,1019,2018
14,Indiana,32,21.9,22.3,23.1,22.2,22.5,67,546,539,1085,2018
15,Iowa,68,21.0,21.2,22.5,22.0,21.8,3,634,631,1265,2018
16,Kansas,71,21.0,21.1,22.3,21.5,21.6,4,633,631,1264,2018
17,Kentucky,100,19.9,19.7,20.8,20.1,20.2,4,630,618,1248,2018
18,Louisiana,100,19.0,18.5,19.6,19.1,19.2,4,615,595,1210,2018
19,Maine,7,23.8,23.6,24.7,23.4,24.0,99,512,501,1013,2018
20,Maryland,31,22.1,22.0,23.1,22.2,22.5,76,545,535,1080,2018
21,Massachusetts,25,25.5,25.2,25.9,24.7,25.5,80,562,563,1125,2018
22,Michigan,22,24.5,23.9,24.7,23.9,24.4,100,511,499,1010,2018
23,Minnesota,99,20.2,21.4,21.7,21.4,21.3,4,643,655,1298,2018
24,Mississippi,100,18.2,18.1,18.9,18.6,18.6,3,630,606,1236,2018
25,Missouri,100,19.5,19.7,20.5,20.0,20.0,4,633,629,1262,2018
26,Montana,100,18.7,19.9,20.7,20.0,20.0,10,606,592,1198,2018
27,Nebraska,100,19.4,19.8,20.4,20.1,20.1,3,629,623,1252,2018
28,Nevada,100,16.6,17.8,18.0,17.9,17.7,23,574,566,1140,2018
29,New Hampshire,16,25.1,24.7,25.6,24.4,25.1,96,535,528,1063,2018
30,New Jersey,31,23.8,23.6,24.0,23.0,23.7,82,547,547,1094,2018
31,New Mexico,67,18.3,19.1,20.1,19.7,19.4,16,552,540,1092,2018
32,New York,27,24.2,24.2,24.9,24.2,24.5,79,534,534,1068,2018
33,North Carolina,100,18.0,19.3,19.5,19.2,19.1,52,554,543,1097,2018
34,North Dakota,98,19.1,20.3,20.7,20.5,20.3,2,640,643,1283,2018
35,Ohio,100,19.3,20.3,20.8,20.4,20.3,18,552,547,1099,2018
36,Oklahoma,100,18.4,18.8,20.1,19.4,19.3,8,541,521,1062,2018
37,Oregon,42,20.6,20.9,21.9,21.1,21.3,48,564,553,1117,2018
38,Pennsylvania,20,23.3,23.2,24.0,23.1,23.5,70,547,539,1086,2018
39,Rhode Island,15,24.4,23.6,25.0,23.5,24.2,97,513,505,1018,2018
40,South Carolina,100,17.3,18.2,18.6,18.5,18.3,55,531,512,1043,2018
41,South Dakota,77,20.8,21.6,22.4,22.2,21.9,3,622,618,1240,2018
42,Tennessee,100,19.4,19.1,19.9,19.6,19.6,6,624,607,1231,2018
43,Texas,41,19.6,20.6,21.1,20.8,20.6,66,520,512,1032,2018
44,Utah,100,19.7,19.9,20.9,20.5,20.4,4,618,612,1230,2018
45,Vermont,24,23.9,23.4,24.9,23.8,24.1,64,565,554,1119,2018
46,Virginia,24,23.8,23.3,24.7,23.5,23.9,68,567,550,1117,2018
47,Washington,24,21.4,22.2,22.7,22.0,22.2,69,543,538,1081,2018
48,West Virginia,65,19.8,19.4,21.3,20.4,20.3,28,513,486,999,2018
49,Wisconsin,100,19.8,20.3,20.6,20.8,20.5,3,641,653,1294,2018
50,Wyoming,100,19.0,19.7,20.6,20.3,20.0,3,633,625,1258,2018
